date,daily_pnl,trades
2023-03-28,0.0,3
2023-11-14,155.50335700000008,1045
2024-03-09,176965.491774,6962
2024-07-03,158742.378078,7141
2024-10-27,3189461.032019,35241
2025-02-19,6699925.190574,133871
2025-06-15,71709.347634,26961
